epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.994,0.80891,3.47015,1.30897,0.15409,0.31667,0.1675,0.04791,1.55011,4.07725,2.87576,0.000183227,0.000183227,0.000183227
2,202.819,0.75554,2.47962,1.24721,0.33656,0.46955,0.34215,0.092,1.95626,3.51213,3.763,0.000295586,0.000295586,0.000295586
3,298.429,0.74155,2.01348,1.22521,0.37368,0.4705,0.33961,0.08356,2.27244,3.77469,4.45168,0.000334552,0.000334552,0.000334552
4,396.503,0.68964,1.74197,1.17047,0.40053,0.49478,0.36476,0.09315,2.19387,3.27466,4.32515,0.000225736,0.000225736,0.000225736
5,488.442,0.64258,1.57706,1.14669,0.44016,0.49692,0.38364,0.10089,2.0816,3.23105,4.18367,0.000115648,0.000115648,0.000115648
