epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.273,0.80171,3.43453,1.3253,0.26917,0.4344,0.30826,0.25239,0.66763,3.18901,1.25848,0.000183227,0.000183227,0.000183227
2,285.489,0.75147,2.433,1.26802,0.51189,0.69754,0.6304,0.52286,0.62736,2.377,1.19233,0.000295586,0.000295586,0.000295586
3,386.062,0.72411,1.97777,1.23,0.58166,0.70598,0.6934,0.57975,0.61143,2.11149,1.16728,0.000334552,0.000334552,0.000334552
4,479.405,0.67648,1.71659,1.181,0.67143,0.76817,0.79862,0.68172,0.54741,1.92445,1.1197,0.000225736,0.000225736,0.000225736
5,585.691,0.63577,1.55335,1.15147,0.77925,0.81686,0.84894,0.73594,0.51455,1.61906,1.08392,0.000115648,0.000115648,0.000115648
